TLInstance,Room,fumehood,percent,DEPT
253,2164,FH475,0,ECE
264,2164,FH727,0,
266,4161B,FH331,0,LIFS
269,4160,FH333,0,LIFS
271,4160,FH332,0,LIFS
276,6143,FH321,0,CHEM
296,6143,FH322,0,CHEM
300,6145,FH319,0,CCM
302,6145,FH320,0,CCM
306,6146,FH325,0,BCRF
315,6143,FH726,0,
314,6143,FH725,0,
309,6149,FH708,0,NAMI
311,6149,FH709,0,NAMI
317,6147,FH317,0,R&D
320,6148,FH328,0,FINTEX
321,6148,FH327,0,FINTEX
559,6150,FH323,0,NAMI
562,7163,FH311,0,MNF
564,7163,FH310,0,MNF
568,7162,FH304,0,CHEM
570,7162,FH305,0,CHEM
574,7161A,FH308,0,CHEM
576,7161A,FH309,0,CHEM
578,7161C,FH307,0,CHEM
580,7161C,FH306,0,CHEM
586,7165,FH313,0,IAS
589,7164,FH303,0,IAS
592,7167,FH314,0,LIFS
596,7166,FH276,0,CHEM
597,7166,FH275,0,CHEM
408,7166,FH434,0,CHEM
600,7166,FH435,0,CHEM
602,7166,FH436,0,CHEM
605,4150,FH274,0,BRI
606,4150,FH273,0,BRI
611,4116B,FH282,0,PHYS
617,4117,FH280,0,PHYS
618,4115A,FH278,0,PHYS
619,4115,FH277,0,PHYS
620,4116A,FH279,0,PHYS
623,4115D,FH281,0,PHYS
625,4094,FH520,0,ENVR
627,4094,FH517,0,ENVR
629,4094,FH494,0,ENVR
631,4094,FH488,0,ENVR
633,4111,FH495,0,ENVR
636,4114,FH251,0,ENVR
639,4113,FH301,0,ENVR
641,4105,FH491,0,ENVR
643,4110,FH527,0,ENVR
646,6114,FH84,0,CBE
651,6122,FH18,0,CHEM
650,6122,FH41,0,CHEM
653,6122,FH20,0,CHEM
655,6122,FH21,0,CHEM
657,6120,FH17,0,CHEM
664,6120,FC032,0,CHEM
667,6141,FH191,0,BRI
670,6127,FH209,0,BCRF
327,6125,FH22,0,CHEM
674,6124,FH24,0,CHEM
676,6124,FH26,0,CHEM
678,6124,FH041,0,CHEM
683,6102,FC18,0,EVNG
685,6103,FC17,0,FMO/DMSF
687,6104,FH230,0,CBE
692,6105,FC20,0,MAE
694,6109,FC27,0,MAE
696,6111,FC19,0,MAE
701,6113,FH51,0,CBE
703,6114,FH25,0,CBE
707,6138,FH28,0,PHYS
711,6115,FH269,0,CBE
712,6115,FH270,0,CBE
714,6118,FH59,0,CBE
716,6119,FH78,0,CBE
718,6117,FH285,0,CBE
739,6121,FH61,0,CBE
741,6117,FH729,0,
743,6124B,FH288,0,CHEM
745,6124B,FH289,0,CHEM
751,6125,FH700,0,CHEM
752,6125,FH701,0,CHEM
753,6125,FH702,0,CHEM
754,6125,FH703,0,CHEM
756,2151,FH178,0,MCPF
759,7152,FH192,0,BRI
764,7153,FH719,0,CHEM
765,7153,FH720,0,CHEM
766,7153,FH721,0,CHEM
768,7139,FH53,0,CHEM
770,7139,FH62,0,CHEM
771,7139,FH54,0,CHEM
777,7137,FH195,0,CHEM
780,7136,FH49,0,CHEM
783,7134,FH48,0,CHEM
786,7130,FH44,0,CHEM
788,7130,FH79,0,CHEM
793,7133,FC048,0,CHEM
802,7133,FH33,0,CHEM
804,7133,FH45,0,CHEM
809,7122,FH100,0,CHEM
812,7122,FH264,0,CHEM
814,7121,FH42,0,CHEM
818,7111,FH31,0,CBE
820,7111,FH32,0,CBE
822,7112,FH91,0,CBE
824,7112,FH85,0,CBE
829,7250,FH232,0,CBE
832,7250,FH233,0,CBE
857,7253,FH237,0,CBE
859,7252,FH234,0,CBE
861,7253,FH235,0,CBE
863,7253,FH236,0,CBE
869,7107,FH302,0,CBE
936,7135,FH255,0,CHEM
938,7107,FH256,0,CBE
941,7107,FH326,0,CBE
948,7109,FH259,0,CBE
949,7109,FH260,0,CBE
950,7108,FH257,0,CBE
951,7108,FH258,0,CBE
952,7110,FH261,0,CBE
953,7118,FH262,0,CBE
956,7104,FC38,0,CBE
958,7106,FH506,0,CBE
962,7103,FH247,0,CBE
964,7101,FC28,0,CBE
966,7103,FH248,0,CBE
971,7102,FH177,0,CBE
973,7132,FH272,0,CHEM
974,7132,FH46,0,CHEM
978,7132,FH723,0,CHEM
977,7132,FH722,0,CHEM
982,4118,FH5,0,
984,4119B,FH181,0,PHYS
986,4121B,FH6,0,
991,4123,FH7,0,
993,4126,FH8,0,
995,4131,FH224,0,
1000,4139,FH10,0,PHYS
1002,4141,FH11,0,PHYS
1006,4145,FH231,0,PHYS
1009,3201,FH707,0,CIVL
1015,3201,FH705,0,CIVL
1016,3201,FH706,0,CIVL
1017,3202,FH704,0,CIVL
1018,3212,FH271,0,CIVL
1023,6201,FH711,0,LIFS
1024,6201,FH712,0,LIFS
1230,6201,FH713,0,LIFS
1233,6201,FH714,0,LIFS
1240,6201,FH715,0,
1241,6201,FH716,0,
1242,6201,FH717,0,
1245,6201,FH718,0,
1251,G031B,FH182,0,MAE
1257,G031D,FH315,0,MAE
1263,2123,FC41,0,CHEM
1269,3107D,FC03,0,HSEO
1272,3112,FC04,0,ECE
1274,3112,FC40,0,ECE
1287,6007,FH604,0,CHEM
1288,6007,FH603,0,CHEM
1289,6007,FH602,0,CHEM
1290,6007,FH601,0,CHEM
1291,6007,FH65,0,CHEM
1292,6007,FH72,0,CHEM
1293,6007,FH240,0,CHEM
1294,6007,FH66,0,CHEM
1332,6014,FH607,0,CHEM
1333,6014,FH606,0,CHEM
1334,6014,FH605,0,CHEM
1335,6014,FH609,0,CHEM
1336,6014,FH610,0,CHEM
1337,6014,FH608,0,CHEM
1338,6014,FH612,0,CHEM
1339,6014,FH611,0,CHEM
1340,6014,FH63,0,CHEM
1341,6014,FH68,0,CHEM
1342,6014,FH70,0,CHEM
1343,6014,FH64,0,CHEM
1365,UG001,FH418,1,CHEM
1367,UG001,FH437,1,CHEM
1481,6014,FH68,0,CHEM
1806,2007B,FH448,1,CBME
1496,2007,FH449,1,CBME
1505,2007,FH453,1,CBME
1563,4014,FH450,1,ECE
1564,4014,FH451,1,ECE
1549,4007,FH510,1,EI
1553,4007,FH511,1,EI
1555,4007,FH526,1,EI
1557,4007,FH532,1,EI
1384,1002,FH505,1,SENG
1733,6007,FH438,1,CHEM
1737,6007,FH439,1,CHEM
1743,6007,FH440,1,CHEM
1750,6007,FH443,1,CHEM
1808,5014,FH474,1,LIFS
1810,5014,FH473,1,LIFS
1725,6007,FH504,1,CHEM
1369,UG002,FH401,1,CHEM
1371,UG002,FH402,1,CHEM
1373,UG002,FH403,1,CHEM
1357,UG001,FH404,1,CHEM
