Unnamed: 0,TLInstance,Historian name For ITSC API,Historian Name SUGGESTION,Room,type,fumehood
0,TL252,145_Rm2164_FH475_Flow_TL Archive,FH475_Flow,2164,flow,FH475
1,TL253,145_Rm2164_FH475_Sash_TL Archive,FH475_Sash,2164,sash,FH475
2,TL256,145_Rm2164_FH727_Exhaust_Flow_l/s_TL Archive,FH727_Exhaust_Flow,2164,flow,FH727
3,TL264,145_Rm2164_FH727_Sash_Position_TL Archive,FH727_Sash,2164,sash,FH727
4,TL265,167_Rm4161B_FH331_Exhaust_Flow_TL Archive,FH331_Exhaust_Flow,4161B,flow,FH331
5,TL266,167_Rm4161B_FH331_Sash_Position_TL Archive,FH331_Sash,4161B,sash,FH331
6,TL267,167_Rm4161B_FH331_User_Status_TL Archive,FH331_User_Status,4161B,status,FH331
7,TL268, 184_Rm4160_FH333_Exhaust_Flow_TL Archive,FH333_Exhaust_Flow,4160,flow,FH333
8,TL269,184_Rm4160_FH333_Sash_Position_TL Archive,FH333_Sash,4160,sash,FH333
9,TL270,184_Rm4160_FH332_Exhaust_Flow_TL Archive,FH332_Exhaust_Flow,4160,flow,FH332
10,TL271,184_Rm4160_FH332_Sash_Position_TL Archive,FH332_Sash,4160,sash,FH332
11,TL272,184_Rm4160_FH333_User_Status_TL Archive,FH333_User_Status,4160,status,FH333
12,TL273,184_Rm4160_FH332_User_Status_TL Archive,FH332_User_Status,4160,status,FH332
13,TL274,227_Rm6143_FH321_Exhaust_Flow_TL Archive,FH321_Exhaust_Flow,6143,flow,FH321
14,TL276,227_Rm6143_FH321_Sash_Position_TL Archive,FH321_Sash,6143,sash,FH321
15,TL295,227_Rm6143_FH322_Exhaust_Flow_TL Archive,FH322_Exhaust_Flow,6143,flow,FH322
16,TL296,227_Rm6143_FH322_Sash_Position_TL Archive,FH322_Sash,6143,sash,FH322
17,TL297,227_Rm6143_FH321_User_Status_TL Archive,FH321_User_Status,6143,status,FH321
18,TL298,227_Rm6143_FH322_User_Status_TL Archive,FH322_User_Status,6143,status,FH322
19,TL299,228_Rm6145_FH319_Exhaust_Flow_TL Archive,FH319_Exhaust_Flow,6145,flow,FH319
20,TL300,228_Rm6145_FH319_Sash_Position_TL Archive,FH319_Sash,6145,sash,FH319
21,TL301,228_Rm6145_FH320_Exhaust_Flow_TL Archive,FH320_Exhaust_Flow,6145,flow,FH320
22,TL302,228_Rm6145_FH320_Sash_Position_TL Archive,FH320_Sash,6145,sash,FH320
23,TL303,228_Rm6145_FH319_User_Status_TL Archive,FH319_User_Status,6145,status,FH319
24,TL304,228_Rm6145_FH320_User_Status_TL Archive,FH320_User_Status,6145,status,FH320
25,TL305,229_Rm6146_FH325_Exhaust_Flow_TL Archive,FH325_Exhaust_Flow,6146,flow,FH325
26,TL306,229_Rm6146_FH325_Sash_Position_TL Archive,FH325_Sash,6146,sash,FH325
27,TL307,229_Rm6146_FH325_User_Status_TL Archive,FH325_User_Status,6146,status,FH325
28,TL312,232_Rm6143_FH725_Exhaust_Flow_l/s_TL Archive,FH725_Exhaust_Flow,6143,flow,FH725
29,TL313,232_Rm6143_FH726_Exhaust_Flow_l/s_TL Archive,FH726_Exhaust_Flow,6143,flow,FH726
30,TL315,232_Rm6143_FH726_Sash_Position_TL Archive,FH726_Sash,6143,sash,FH726
31,TL314,232_Rm6143_FH725_Sash_Position_TL Archive,FH725_Sash,6143,sash,FH725
32,TL308,276_Rm6149_FH708_Exhaust_Flow_TL Archive,FH708_Exhaust_Flow,6149,flow,FH708
33,TL309,276_Rm6149_FH708_Sash_Position_TL Archive,FH708_Sash,6149,sash,FH708
34,TL310,276_Rm6149_FH709_Exhaust_Flow_TL Archive,FH709_Exhaust_Flow,6149,flow,FH709
35,TL311,276_Rm6149_FH709_Sash_Position_TL Archive,FH709_Sash,6149,sash,FH709
36,TL316,277_Rm6147_FH317_Exhaust_Flow_TL Archive,FH317_Exhaust_Flow,6147,flow,FH317
37,TL317,277_Rm6147_FH317_Sash_Position_TL Archive,FH317_Sash,6147,sash,FH317
38,TL318,277_Rm6147_FH317_User_Status_TL Archive,FH317_User_Status,6147,status,FH317
39,TL319,278_Rm6148_FH328_Exhaust_Flow_TL Archive,FH328_Exhaust_Flow,6148,flow,FH328
40,TL320,278_Rm6148_FH328_Sash_Position_TL Archive,FH328_Sash,6148,sash,FH328
41,TL322,278_Rm6148_FH327_Exhaust_Flow_TL Archive,FH327_Exhaust_Flow,6148,flow,FH327
42,TL321,278_Rm6148_FH327_Sash_Position_TL Archive,FH327_Sash,6148,sash,FH327
43,TL323,278_Rm6148_FH328_User_Status_TL Archive,FH328_User_Status,6148,status,FH328
44,TL371,278_Rm6148_FH327_User_Status_TL Archive,FH327_User_Status,6148,status,FH327
45,TL372,280_Rm6150_FH323_Exhaust_Flow_TL Archive,FH323_Exhaust_Flow,6150,flow,FH323
46,TL559,280_Rm6150_FH323_Sash_Position_TL Archive,FH323_Sash,6150,sash,FH323
47,TL560,280_Rm6150_FH323_User_Status_TL Archive,FH323_User_Status,6150,status,FH323
48,TL561,326_Rm7163_FH311_Exhaust_Flow_TL Archive,FH311_Exhaust_Flow,7163,flow,FH311
49,TL562,326_Rm7163_FH311_Sash_Position_TL Archive,FH311_Sash,7163,sash,FH311
50,TL563,326_Rm7163_FH310_Exhaust_Flow_TL Archive,FH310_Exhaust_Flow,7163,flow,FH310
51,TL564,326_Rm7163_FH310_Sash_Position_TL Archive,FH310_Sash,7163,sash,FH310
52,TL565,326_Rm7163_FH311_User_Status_TL Archive,FH311_User_Status,7163,status,FH311
53,TL566,326_Rm7163_FH310_User_Status_TL Archive,FH310_User_Status,7163,status,FH310
54,TL567,327_Rm7162_FH304_Exhaust_Flow_TL Archive,FH304_Exhaust_Flow,7162,flow,FH304
55,TL568,327_Rm7162_FH304_Sash_Position_TL Archive,FH304_Sash,7162,sash,FH304
56,TL569,327_Rm7162_FH305_Exhaust_Flow_TL Archive,FH305_Exhaust_Flow,7162,flow,FH305
57,TL570,327_Rm7162_FH305_Sash_Position_TL Archive,FH305_Sash,7162,sash,FH305
58,TL571,327_Rm7162_FH304_User_Status_TL Archive,FH304_User_Status,7162,status,FH304
59,TL572,327_Rm7162_FH305_User_Status_TL Archive,FH305_User_Status,7162,status,FH305
60,TL573,328_Rm7161A_FH308_Exhaust_Flow_TL Archive,FH308_Exhaust_Flow,7161A,flow,FH308
61,TL574,328_Rm7161A_FH308_Sash_Position_TL Archive,FH308_Sash,7161A,sash,FH308
62,TL575,328_Rm7161A_FH309_Exhaust_Flow_TL Archive,FH309_Exhaust_Flow,7161A,flow,FH309
63,TL576,328_Rm7161A_FH309_Sash_Position_TL Archive,FH309_Sash,7161A,sash,FH309
64,TL577,328_Rm7161C_FH307_Exhaust_Flow_TL Archive,FH307_Exhaust_Flow,7161C,flow,FH307
65,TL578,328_Rm7161C_FH307_Sash_Position_TL Archive,FH307_Sash,7161C,sash,FH307
66,TL579,328_Rm7161C_FH306_Exhaust_Flow_TL Archive,FH306_Exhaust_Flow,7161C,flow,FH306
67,TL580,328_Rm7161C_FH306_Sash_Position_TL Archive,FH306_Sash,7161C,sash,FH306
68,TL581,328_Rm7161A_FH308_User_Status_TL Archive,FH308_User_Status,7161A,status,FH308
69,TL582,328_Rm7161A_FH309_User_Status_TL Archive,FH309_User_Status,7161A,status,FH309
70,TL583,328_Rm7161C_FH307_User_Status_TL Archive,FH307_User_Status,7161C,status,FH307
71,TL584,328_Rm7161C_FH306_User_Status_TL Archive,FH306_User_Status,7161C,status,FH306
